    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/01/31,10:14:42
MCA Data File,200131 HPGe B ARAA 2B-RX.asc
Comment,Labo:
Date,2020/01/30,09:22:38
Live Time,86412,Real Time,89481,Preset time,20000000,Dead Time,0,(%),Mode,PHA
Spectrum Data,Start ch,0,End ch,4095
  chn  ,  data
   0,   86412
   1,   89481
   2,       0
   3,       0
   4,       0
   5,       0
   6,       0
   7,       0
   8,       0
   9,       0
  10,       0
  11,       0
  12,       0
  13,       0
  14,       0
  15,       0
  16,       0
  17,       0
  18,       0
  19,       0
  20,       0
  21,       0
  22,       0
  23,       0
  24,       0
  25,       0
  26,       0
  27,       0
  28,       0
  29,       0
  30,       0
  31,       0
  32,       0
  33,       0
  34,       0
  35,       0
  36,       0
  37,       0
  38,       0
  39,       0
  40,       0
  41,       0
  42,       0
  43,       0
  44,       0
  45,       0
  46,       0
  47,       0
  48,       0
  49,       0
  50,       0
  51,       0
  52,       0
  53,       0
  54,       0
  55,       0
  56,       0
  57,       0
  58,       0
  59,       0
  60,       0
  61,       0
  62,       0
  63,       0
  64,       0
  65,       0
  66,       0
  67,       0
  68,       0
  69,       0
  70,       0
  71,       0
  72,       0
  73,       0
  74,       0
  75,       0
  76,       0
  77,       0
  78,       0
  79,       0
  80,       0
  81,       0
  82,       0
  83,       0
  84,       0
  85,       0
  86,       0
  87,       0
  88,       0
  89,       0
  90,       0
  91,       0
  92,       0
  93,       0
  94,       0
  95,       0
  96,       0
  97,       0
  98,       0
  99,       0
 100,       0
 101,       0
 102,       0
 103,       0
 104,       0
 105,       0
 106,       0
 107,       0
 108,       0
 109,       0
 110,       0
 111,       0
 112,       0
 113,       0
 114,       0
 115,       0
 116,       0
 117,       0
 118,       0
 119,       0
 120,       0
 121,       0
 122,       0
 123,       0
 124,       0
 125,       0
 126,       0
 127,       0
 128,       0
 129,       0
 130,       0
 131,       0
 132,       0
 133,       0
 134,       0
 135,       0
 136,       0
 137,       0
 138,       0
 139,       0
 140,       0
 141,       0
 142,       0
 143,       0
 144,       0
 145,       0
 146,       0
 147,       0
 148,       0
 149,       0
 150,       0
 151,       0
 152,       0
 153,       0
 154,       0
 155,       0
 156,       0
 157,       0
 158,       0
 159,       0
 160,       0
 161,       0
 162,       0
 163,       0
 164,       0
 165,       0
 166,       0
 167,       0
 168,       0
 169,       0
 170,       0
 171,       0
 172,       0
 173,       0
 174,       0
 175,       0
 176,       0
 177,       0
 178,       0
 179,       0
 180,       0
 181,       0
 182,       0
 183,       0
 184,       0
 185,       0
 186,       0
 187,       0
 188,       0
 189,       0
 190,       0
 191,       0
 192,       0
 193,       0
 194,       0
 195,       0
 196,       0
 197,       0
 198,       0
 199,       0
 200,       0
 201,       0
 202,       0
 203,       0
 204,       0
 205,       0
 206,       0
 207,       0
 208,       0
 209,       0
 210,       0
 211,       0
 212,       0
 213,       0
 214,       0
 215,       0
 216,       0
 217,       0
 218,       0
 219,       0
 220,       0
 221,       0
 222,       0
 223,       0
 224,       0
 225,       0
 226,       0
 227,       0
 228,       0
 229,       0
 230,       0
 231,       0
 232,       0
 233,       0
 234,       0
 235,       0
 236,       0
 237,       0
 238,       0
 239,       0
 240,       0
 241,       0
 242,       0
 243,       0
 244,       0
 245,       0
 246,       0
 247,       0
 248,       0
 249,       0
 250,       0
 251,       0
 252,       0
 253,       0
 254,       0
 255,       0
 256,       0
 257,       0
 258,       0
 259,       0
 260,       0
 261,       0
 262,       0
 263,       0
 264,       0
 265,       0
 266,       0
 267,       0
 268,       0
 269,       0
 270,       0
 271,       0
 272,       0
 273,       0
 274,       0
 275,       0
 276,       0
 277,       0
 278,       0
 279,       0
 280,       0
 281,       0
 282,       0
 283,       0
 284,       0
 285,       0
 286,       0
 287,       0
 288,       0
 289,       0
 290,       0
 291,       0
 292,       0
 293,       0
 294,       0
 295,       0
 296,       0
 297,       0
 298,       0
 299,       0
 300,       0
 301,       0
 302,       0
 303,       0
 304,       0
 305,       0
 306,       0
 307,       0
 308,       0
 309,       0
 310,       0
 311,       0
 312,       0
 313,       0
 314,       0
 315,       0
 316,       0
 317,       0
 318,       0
 319,       0
 320,       0
 321,       0
 322,       0
 323,       0
 324,       0
 325,       0
 326,       0
 327,       0
 328,       0
 329,       0
 330,       0
 331,       0
 332,       0
 333,       0
 334,       0
 335,       0
 336,       0
 337,       0
 338,       0
 339,       0
 340,       0
 341,       0
 342,       0
 343,       0
 344,       0
 345,       0
 346,       0
 347,       0
 348,       0
 349,       0
 350,       0
 351,       0
 352,       0
 353,       0
 354,       0
 355,       0
 356,       0
 357,       0
 358,       0
 359,       0
 360,       0
 361,       0
 362,       0
 363,       0
 364,       0
 365,       0
 366,       0
 367,       0
 368,       0
 369,       0
 370,       0
 371,       0
 372,       0
 373,       0
 374,       0
 375,       0
 376,       0
 377,       0
 378,       0
 379,       0
 380,       0
 381,       0
 382,       0
 383,       0
 384,       0
 385,       0
 386,       0
 387,       0
 388,       0
 389,       0
 390,       0
 391,       0
 392,       0
 393,       0
 394,       0
 395,       0
 396,       0
 397,       0
 398,       0
 399,       0
 400,       0
 401,       0
 402,       0
 403,       0
 404,       0
 405,       0
 406,       0
 407,       0
 408,       0
 409,       0
 410,       0
 411,       0
 412,       0
 413,       0
 414,       0
 415,       0
 416,       0
 417,       0
 418,       0
 419,       0
 420,       0
 421,       0
 422,       0
 423,       0
 424,       0
 425,       0
 426,       0
 427,       0
 428,       0
 429,       0
 430,       0
 431,       0
 432,       0
 433,       0
 434,       0
 435,       0
 436,       0
 437,       0
 438,       0
 439,       0
 440,       0
 441,       0
 442,       0
 443,       0
 444,       0
 445,       0
 446,       0
 447,       0
 448,       0
 449,       0
 450,       0
 451,       0
 452,       0
 453,       0
 454,       0
 455,       0
 456,       0
 457,       0
 458,       0
 459,       0
 460,       0
 461,       0
 462,       0
 463,       0
 464,       0
 465,       0
 466,       0
 467,       0
 468,       0
 469,       0
 470,       0
 471,       0
 472,       0
 473,       0
 474,       0
 475,       0
 476,       0
 477,       0
 478,       0
 479,       0
 480,       0
 481,       0
 482,       0
 483,       0
 484,       0
 485,       0
 486,       0
 487,       0
 488,       0
 489,       0
 490,       0
 491,       0
 492,       0
 493,       0
 494,       0
 495,       0
 496,       0
 497,       0
 498,       0
 499,       0
 500,       0
 501,       0
 502,       0
 503,       0
 504,       0
 505,       0
 506,       0
 507,       0
 508,       0
 509,       0
 510,       0
 511,       0
 512,       0
 513,       0
 514,       0
 515,       0
 516,     149
 517,  201016
 518,  357299
 519,  356174
 520,  351245
 521,  344765
 522,  337070
 523,  331678
 524,  326116
 525,  319855
 526,  315223
 527,  310142
 528,  305486
 529,  302149
 530,  297665
 531,  294833
 532,  292342
 533,  289244
 534,  287325
 535,  285768
 536,  282514
 537,  282054
 538,  281270
 539,  284973
 540,  288980
 541,  286814
 542,  278433
 543,  272102
 544,  270300
 545,  269133
 546,  266583
 547,  264777
 548,  263405
 549,  262025
 550,  261145
 551,  260363
 552,  258885
 553,  257270
 554,  255718
 555,  254213
 556,  252729
 557,  251992
 558,  250679
 559,  250301
 560,  248622
 561,  248545
 562,  246221
 563,  245479
 564,  243618
 565,  242708
 566,  242116
 567,  240989
 568,  239425
 569,  238930
 570,  236811
 571,  236016
 572,  235226
 573,  234140
 574,  232491
 575,  231230
 576,  230975
 577,  229638
 578,  228563
 579,  227162
 580,  227212
 581,  226375
 582,  225044
 583,  223582
 584,  222226
 585,  222208
 586,  220563
 587,  220496
 588,  219302
 589,  218350
 590,  217324
 591,  216320
 592,  214689
 593,  214656
 594,  212362
 595,  212427
 596,  211100
 597,  210362
 598,  208901
 599,  208579
 600,  207903
 601,  205679
 602,  205154
 603,  204309
 604,  203308
 605,  202654
 606,  200836
 607,  199911
 608,  199182
 609,  199273
 610,  197795
 611,  195767
 612,  195863
 613,  195079
 614,  193138
 615,  192978
 616,  191620
 617,  190978
 618,  188914
 619,  188654
 620,  187801
 621,  186774
 622,  186528
 623,  185621
 624,  185751
 625,  184389
 626,  182366
 627,  182198
 628,  180836
 629,  180495
 630,  180123
 631,  179370
 632,  178325
 633,  177800
 634,  176591
 635,  176310
 636,  174938
 637,  175002
 638,  173637
 639,  173535
 640,  173298
 641,  173137
 642,  173275
 643,  172178
 644,  170883
 645,  171536
 646,  171527
 647,  170433
 648,  169703
 649,  169917
 650,  168860
 651,  168643
 652,  168909
 653,  168256
 654,  167609
 655,  167535
 656,  165979
 657,  167412
 658,  166077
 659,  166474
 660,  166730
 661,  166770
 662,  166361
 663,  165587
 664,  165676
 665,  165603
 666,  164541
 667,  164483
 668,  163692
 669,  164708
 670,  164122
 671,  163884
 672,  164303
 673,  163152
 674,  162336
 675,  162249
 676,  163001
 677,  162535
 678,  162175
 679,  162008
 680,  161138
 681,  161463
 682,  160016
 683,  160317
 684,  159942
 685,  159761
 686,  159699
 687,  159157
 688,  158776
 689,  158915
 690,  158998
 691,  157344
 692,  157510
 693,  157331
 694,  156817
 695,  157451
 696,  155471
 697,  155982
 698,  156021
 699,  155698
 700,  155269
 701,  155733
 702,  154759
 703,  154445
 704,  154252
 705,  154054
 706,  154164
 707,  152968
 708,  153674
 709,  154286
 710,  152816
 711,  152885
 712,  151646
 713,  152916
 714,  153048
 715,  153068
 716,  152431
 717,  150932
 718,  150471
 719,  151653
 720,  150289
 721,  149940
 722,  149208
 723,  149281
 724,  149044
 725,  149405
 726,  148817
 727,  149095
 728,  148688
 729,  148630
 730,  148385
 731,  148568
 732,  148016
 733,  147160
 734,  147548
 735,  147046
 736,  146646
 737,  146934
 738,  147052
 739,  146699
 740,  146496
 741,  146226
 742,  146319
 743,  146058
 744,  145131
 745,  145655
 746,  144699
 747,  144394
 748,  144891
 749,  144504
 750,  144121
 751,  144521
 752,  143030
 753,  144014
 754,  143897
 755,  143809
 756,  143021
 757,  142899
 758,  143422
 759,  143182
 760,  142778
 761,  142703
 762,  142613
 763,  142832
 764,  142833
 765,  143199
 766,  142570
 767,  142669
 768,  142268
 769,  142948
 770,  143860
 771,  142754
 772,  142835
 773,  143583
 774,  143811
 775,  143432
 776,  144265
 777,  144257
 778,  145771
 779,  147676
 780,  150818
 781,  156375
 782,  166631
 783,  190494
 784,  246284
 785,  385896
 786,  730531
 787, 1472639
 788, 2756410
 789, 4403868
 790, 5699423
 791, 5835218
 792, 4676839
 793, 3030831
 794, 1657906
 795,  842943
 796,  454487
 797,  290013
 798,  214749
 799,  175716
 800,  152277
 801,  135808
 802,  124396
 803,  116050
 804,  109716
 805,  104230
 806,   99168
 807,   95940
 808,   92294
 809,   89594
 810,   87138
 811,   85137
 812,   83389
 813,   82119
 814,   79778
 815,   78522
 816,   77475
 817,   76418
 818,   75543
 819,   74426
 820,   73627
 821,   72521
 822,   71963
 823,   71207
 824,   71238
 825,   70361
 826,   69365
 827,   68623
 828,   68347
 829,   68457
 830,   67708
 831,   67556
 832,   67566
 833,   65984
 834,   66497
 835,   66053
 836,   65883
 837,   65230
 838,   64898
 839,   64647
 840,   64185
 841,   64983
 842,   64224
 843,   63197
 844,   63953
 845,   63222
 846,   63524
 847,   63115
 848,   62748
 849,   62527
 850,   62727
 851,   62427
 852,   62122
 853,   62363
 854,   61907
