    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/01/30,09:18:37
MCA Data File,200130 HPGe A ARAA 2B-RX.asc
Comment,Labo:
Date,2020/01/28,18:24:35
Live Time,134747,Real Time,139957,Preset time,20000000,Dead Time,0,(%),Mode,PHA
Spectrum Data,Start ch,0,End ch,4095
  chn  ,  data
   0,  134747
   1,  139957
   2,       0
   3,       0
   4,       0
   5,       0
   6,       0
   7,       0
   8,       0
   9,       0
  10,       0
  11,       0
  12,       0
  13,       0
  14,       0
  15,       0
  16,       0
  17,       0
  18,       0
  19,       0
  20,       0
  21,       0
  22,       0
  23,       0
  24,       0
  25,       0
  26,       0
  27,       0
  28,       0
  29,       0
  30,       0
  31,       0
  32,       0
  33,       0
  34,       0
  35,       0
  36,       0
  37,       0
  38,       0
  39,       0
  40,       0
  41,       0
  42,       0
  43,       0
  44,       0
  45,       0
  46,       0
  47,       0
  48,       0
  49,       0
  50,       0
  51,       0
  52,       0
  53,       0
  54,       0
  55,       0
  56,       0
  57,       0
  58,       0
  59,       0
  60,       0
  61,       0
  62,       0
  63,       0
  64,       0
  65,       0
  66,       0
  67,       0
  68,       0
  69,       0
  70,       0
  71,       0
  72,       0
  73,       0
  74,       0
  75,       0
  76,       0
  77,       0
  78,       0
  79,       0
  80,       0
  81,       0
  82,       0
  83,       0
  84,       0
  85,       0
  86,       0
  87,       0
  88,       0
  89,       0
  90,       0
  91,       0
  92,       0
  93,       0
  94,       0
  95,       0
  96,       0
  97,       0
  98,       0
  99,       0
 100,       0
 101,       0
 102,       0
 103,       0
 104,       0
 105,       0
 106,       0
 107,       0
 108,       0
 109,       0
 110,       0
 111,       0
 112,       0
 113,       0
 114,       0
 115,       0
 116,       0
 117,       0
 118,       0
 119,       0
 120,       0
 121,       0
 122,       0
 123,       0
 124,       0
 125,       0
 126,       0
 127,       0
 128,       0
 129,       0
 130,       0
 131,       0
 132,       0
 133,       0
 134,       0
 135,       0
 136,       0
 137,       0
 138,       0
 139,       0
 140,       0
 141,       0
 142,       0
 143,       0
 144,       0
 145,       0
 146,       0
 147,       0
 148,       0
 149,       0
 150,       0
 151,       0
 152,       0
 153,       0
 154,       0
 155,       0
 156,       0
 157,       0
 158,       0
 159,       0
 160,       0
 161,       0
 162,       0
 163,       0
 164,       0
 165,       0
 166,       0
 167,       0
 168,       0
 169,       0
 170,       0
 171,       0
 172,       0
 173,       0
 174,       0
 175,       0
 176,       0
 177,       0
 178,       0
 179,       0
 180,       0
 181,       0
 182,       0
 183,       0
 184,       0
 185,       0
 186,       0
 187,       0
 188,       0
 189,       0
 190,       0
 191,       0
 192,       0
 193,       0
 194,       0
 195,       0
 196,       0
 197,       0
 198,       0
 199,       0
 200,       0
 201,       0
 202,       0
 203,       0
 204,       0
 205,       0
 206,       0
 207,       0
 208,       0
 209,       0
 210,       0
 211,       0
 212,       0
 213,       0
 214,       0
 215,       0
 216,       0
 217,       0
 218,       0
 219,       0
 220,       0
 221,       0
 222,       0
 223,       0
 224,       0
 225,       0
 226,       0
 227,       0
 228,       0
 229,       0
 230,       0
 231,       0
 232,       0
 233,       0
 234,       0
 235,       0
 236,       0
 237,       0
 238,       0
 239,       0
 240,       0
 241,       0
 242,       0
 243,       0
 244,       0
 245,       0
 246,       0
 247,       0
 248,       0
 249,       0
 250,       0
 251,       0
 252,       0
 253,       0
 254,       0
 255,       0
 256,       0
 257,       0
 258,       0
 259,       0
 260,       0
 261,       0
 262,       0
 263,       0
 264,       0
 265,       0
 266,       0
 267,       0
 268,       0
 269,       0
 270,       0
 271,       0
 272,       0
 273,       0
 274,       0
 275,       0
 276,       0
 277,       0
 278,       0
 279,       0
 280,       0
 281,       0
 282,       0
 283,       0
 284,       0
 285,       0
 286,       0
 287,       0
 288,       0
 289,       0
 290,       0
 291,       0
 292,       0
 293,       0
 294,       0
 295,       0
 296,       0
 297,       0
 298,       0
 299,       0
 300,       0
 301,       0
 302,       0
 303,       0
 304,       0
 305,       0
 306,       0
 307,       0
 308,       0
 309,       0
 310,       0
 311,       0
 312,       0
 313,       0
 314,       0
 315,       0
 316,       0
 317,       0
 318,       0
 319,       0
 320,       0
 321,       0
 322,       0
 323,       0
 324,       0
 325,       0
 326,       0
 327,       0
 328,       0
 329,       0
 330,       0
 331,       0
 332,       0
 333,       0
 334,       0
 335,       0
 336,       0
 337,       0
 338,       0
 339,       0
 340,       0
 341,       0
 342,       0
 343,       0
 344,       0
 345,       0
 346,       0
 347,       0
 348,       0
 349,       0
 350,       0
 351,       0
 352,       0
 353,       0
 354,       0
 355,       0
 356,       0
 357,       0
 358,       0
 359,       0
 360,       0
 361,       0
 362,       0
 363,       0
 364,       0
 365,       0
 366,       0
 367,       0
 368,       0
 369,       0
 370,       0
 371,       0
 372,       0
 373,       0
 374,       0
 375,       0
 376,       0
 377,       0
 378,       0
 379,       0
 380,       0
 381,       0
 382,       0
 383,       0
 384,       0
 385,       0
 386,       0
 387,       0
 388,       0
 389,       0
 390,       0
 391,       0
 392,       0
 393,       0
 394,       0
 395,       0
 396,       0
 397,       0
 398,       0
 399,       0
 400,       0
 401,       0
 402,       0
 403,       0
 404,       0
 405,       0
 406,       0
 407,       0
 408,       0
 409,       0
 410,       0
 411,       0
 412,       0
 413,       0
 414,       0
 415,       0
 416,       0
 417,       0
 418,       0
 419,       0
 420,       0
 421,       0
 422,       0
 423,       0
 424,       0
 425,       0
 426,       0
 427,       0
 428,       0
 429,       0
 430,       0
 431,       0
 432,       0
 433,       0
 434,       0
 435,       0
 436,       0
 437,       0
 438,       0
 439,       0
 440,       0
 441,       0
 442,       0
 443,       0
 444,       0
 445,       0
 446,       0
 447,       0
 448,       0
 449,       0
 450,       0
 451,       0
 452,       0
 453,       0
 454,       0
 455,       0
 456,       0
 457,       0
 458,       0
 459,       0
 460,       0
 461,       0
 462,       0
 463,       0
 464,       0
 465,       0
 466,       0
 467,       0
 468,       0
 469,       0
 470,       0
 471,       0
 472,       0
 473,       0
 474,       0
 475,       0
 476,       0
 477,       0
 478,       0
 479,       0
 480,       0
 481,       0
 482,       0
 483,       0
 484,       0
 485,       0
 486,       0
 487,       0
 488,       0
 489,       0
 490,       0
 491,       0
 492,       0
 493,       0
 494,       0
 495,       0
 496,       0
 497,       0
 498,       0
 499,       0
 500,       0
 501,       0
 502,       0
 503,       0
 504,       0
 505,       0
 506,       0
 507,       0
 508,       0
 509,       0
 510,       0
 511,    2546
 512,  414899
 513,  535572
 514,  525600
 515,  518964
 516,  511044
 517,  502605
 518,  497158
 519,  492320
 520,  485045
 521,  480401
 522,  476576
 523,  471396
 524,  468414
 525,  464172
 526,  461739
 527,  459999
 528,  461550
 529,  473003
 530,  478548
 531,  466860
 532,  450217
 533,  444390
 534,  438338
 535,  436961
 536,  434692
 537,  431198
 538,  427940
 539,  425982
 540,  425179
 541,  422078
 542,  420231
 543,  417771
 544,  416187
 545,  413972
 546,  413056
 547,  409697
 548,  406748
 549,  406048
 550,  403985
 551,  402096
 552,  402187
 553,  398283
 554,  397059
 555,  396921
 556,  393420
 557,  391588
 558,  390418
 559,  389092
 560,  387541
 561,  385971
 562,  384957
 563,  382175
 564,  381895
 565,  379717
 566,  378727
 567,  377788
 568,  376009
 569,  375167
 570,  372455
 571,  370734
 572,  370000
 573,  369025
 574,  366684
 575,  365518
 576,  364082
 577,  362991
 578,  360712
 579,  360633
 580,  359909
 581,  358432
 582,  355790
 583,  354384
 584,  354686
 585,  352442
 586,  350987
 587,  350125
 588,  349212
 589,  347295
 590,  345709
 591,  344151
 592,  342470
 593,  342389
 594,  339427
 595,  338291
 596,  337807
 597,  336606
 598,  334313
 599,  333255
 600,  331948
 601,  330627
 602,  328679
 603,  328129
 604,  326046
 605,  326152
 606,  324601
 607,  324214
 608,  321233
 609,  320283
 610,  318942
 611,  317416
 612,  316211
 613,  315258
 614,  315196
 615,  313103
 616,  312730
 617,  311439
 618,  310553
 619,  310556
 620,  309089
 621,  307374
 622,  305845
 623,  305676
 624,  304532
 625,  302708
 626,  302816
 627,  302087
 628,  301311
 629,  299945
 630,  298419
 631,  299028
 632,  297422
 633,  296636
 634,  296560
 635,  295066
 636,  296110
 637,  295686
 638,  292563
 639,  295029
 640,  292697
 641,  292126
 642,  291438
 643,  290714
 644,  290812
 645,  290519
 646,  289544
 647,  289219
 648,  289424
 649,  287660
 650,  289484
 651,  287491
 652,  286537
 653,  286905
 654,  286616
 655,  285417
 656,  285282
 657,  285142
 658,  283917
 659,  284483
 660,  284126
 661,  284116
 662,  283827
 663,  283069
 664,  283253
 665,  283024
 666,  282536
 667,  281549
 668,  280653
 669,  281377
 670,  279719
 671,  279801
 672,  278888
 673,  279057
 674,  278384
 675,  278561
 676,  279428
 677,  277359
 678,  278242
 679,  277723
 680,  276357
 681,  277188
 682,  275503
 683,  276376
 684,  275046
 685,  274347
 686,  274322
 687,  275176
 688,  274422
 689,  273216
 690,  272664
 691,  272508
 692,  273161
 693,  273006
 694,  273075
 695,  272503
 696,  273221
 697,  271577
 698,  270681
 699,  270993
 700,  270653
 701,  272046
 702,  272558
 703,  272755
 704,  272734
 705,  271961
 706,  269810
 707,  269479
 708,  270760
 709,  269483
 710,  269663
 711,  269121
 712,  269953
 713,  270177
 714,  270525
 715,  269986
 716,  269607
 717,  269821
 718,  268443
 719,  269587
 720,  269534
 721,  268400
 722,  269884
 723,  269346
 724,  270247
 725,  269626
 726,  269232
 727,  271429
 728,  270134
 729,  269824
 730,  270366
 731,  270658
 732,  270719
 733,  271318
 734,  272117
 735,  272593
 736,  271511
 737,  271582
 738,  273452
 739,  273427
 740,  273314
 741,  274144
 742,  274278
 743,  274751
 744,  275380
 745,  276311
 746,  276603
 747,  277156
 748,  277648
 749,  277630
 750,  279601
 751,  279332
 752,  279854
 753,  281034
 754,  281013
 755,  280243
 756,  282188
 757,  282217
 758,  282885
 759,  284726
 760,  285314
 761,  285758
 762,  286072
 763,  286742
 764,  288556
 765,  289803
 766,  293361
 767,  297064
 768,  303883
 769,  317151
 770,  342772
 771,  403662
 772,  559934
 773,  943574
 774, 1810685
 775, 3475167
 776, 5960388
 777, 8564511
 778, 9900022
 779, 9052100
 780, 6570797
 781, 3924380
 782, 2055374
 783, 1061620
 784,  615634
 785,  425747
 786,  335703
 787,  284593
 788,  252409
 789,  229496
 790,  211552
 791,  197702
 792,  186460
 793,  177368
 794,  170646
 795,  163700
 796,  158555
 797,  153516
 798,  149235
 799,  145536
 800,  141904
 801,  139640
 802,  136339
 803,  134185
 804,  131951
 805,  130310
 806,  128505
 807,  127538
 808,  126187
 809,  123748
 810,  123256
 811,  121774
 812,  120591
 813,  119831
 814,  118869
 815,  119044
 816,  117064
 817,  116862
 818,  116056
 819,  114870
 820,  114581
 821,  114111
 822,  113104
 823,  113118
 824,  112014
 825,  111799
 826,  111576
 827,  109957
 828,  110367
 829,  109961
 830,  109666
 831,  109412
 832,  108384
 833,  108568
 834,  107223
 835,  108276
 836,  107576
 837,  107342
 838,  107110
 839,  107370
 840,  105960
 841,  105925
 842,  105357
 843,  105797
 844,  105162
 845,  104112
 846,  104470
 847,  104009
 848,  103984
 849,  103665
 850,  103820
 851,  103990
 852,  103492
 853,  102952
 854,  102757
 855,  102292
 856,  102685
 857,  102393
 858,  102498
 859,  102528
 860,  102316
 861,  100736
 862,  101532
 863,  100843
 864,  100842
 865,  101304
 866,  100842
 867,  100777
 868,   99987
 869,  100003
 870,   99971
 871,   99909
 872,  100093
 873,   99325
 874,   99335
 875,   99725
 876,   98301
 877,   98580
 878,   99384
 879,   98269
 880,   98996
 881,   98842
 882,   98316
 883,   97548
 884,   97988
 885,   98084
 886,   97971
 887,   98557
 888,  100775
 889,  106214
 890,  113256
 891,  114439
 892,  107176
 893,  100181
 894,   96932
 895,   97370
 896,   97123
 897,   96573
 898,   96444
 899,   96519
 900,   95639
 901,   96141
 902,   95759
 903,   95625
 904,   95563
 905,   95780
 906,   95716
 907,   95802
 908,   95649
 909,   94599
 910,   94954
 911,   94897
 912,   94986
 913,   94979
 914,   94309
 915,   94610
 916,   94540
 917,   94071
 918,   94417
 919,   94659
 920,   94518
 921,   94229
 922,   94327
 923,   94453
 924,   94030
 925,   93749
 926,   94076
 927,   94185
 928,   96213
 929,  100818
 930,  109424
 931,  119798
 932,  118532
 933,  106457
 934,   97138
 935,   94893
 936,   93916
 937,   93076
 938,   93374
 939,   93145
 940,   93030
 941,   92741
 942,   92493
 943,   92603
 944,   92197
 945,   92679
 946,   91594
 947,   91717
 948,   91699
 949,   91520
 950,   91959
 951,   91715
 952,   91256
 953,   92439
 954,   92220
 955,   91169
 956,   91417
 957,   91300
 958,   91358
 959,   92009
 960,   91575
 961,   90969
 962,   90812
 963,   90497
 964,   91223
 965,   90386
 966,   90819
 967,   90825
 968,   90961
 969,   90906
 970,   90291
 971,   90998
 972,   90329
 973,   90278
 974,   90401
 975,   90282
 976,   90199
 977,   89939
 978,   90419
 979,   90509
 980,   90127
 981,   90564
 982,   90140
 983,   89424
 984,   90294
 985,   90401
 986,   90300
 987,   89779
 988,   89090
 989,   90137
 990,   89560
 991,   89644
 992,   90225
 993,   90067
 994,   89787
 995,   89713
 996,   89620
 997,   89541
 998,   89240
 999,   89033
1000,   89157
1001,   89311
1002,   89944
1003,   89080
1004,   89360
1005,   88994
1006,   89150
1007,   89159
1008,   89239
1009,   88278
1010,   89002
1011,   88722
1012,   88617
1013,   89511
1014,   88880
1015,   88854
1016,   88942
1017,   88857
1018,   89091
1019,   89472
1020,   89163
1021,   88981
1022,   88496
1023,   88009
1024,   87695
1025,   88098
1026,   88423
1027,   87726
1028,   88394
1029,   88179
1030,   87670
1031,   87970
1032,   88619
1033,   88077
1034,   87799
1035,   88304
1036,   87975
1037,   88046
1038,   87825
1039,   88451
1040,   87974
1041,   87939
1042,   87758
1043,   88537
1044,   87957
1045,   87925
1046,   87874
1047,   87821
1048,   88080
1049,   87599
1050,   87484
1051,   87498
1052,   86961
1053,   87848
1054,   87572
1055,   87430
1056,   87388
1057,   87589
1058,   87509
1059,   87299
1060,   87667
1061,   87744
1062,   87100
1063,   87479
1064,   87651
1065,   86897
1066,   87015
1067,   87513
1068,   87552
1069,   86820
1070,   86924
1071,   87571
1072,   87159
1073,   87140
1074,   86856
1075,   86795
1076,   87166
1077,   87047
1078,   87459
1079,   87630
1080,   86942
1081,   86775
1082,   87247
1083,   87573
1084,   86874
1085,   86927
1086,   86849
1087,   87428
1088,   86857
1089,   87036
1090,   86800
1091,   87531
1092,   87065
1093,   86744
1094,   86909
1095,   86750
1096,   86419
1097,   86486
1098,   86046
1099,   86541
1100,   86573
1101,   86631
1102,   87035
1103,   86236
1104,   86534
1105,   86515
1106,   86758
1107,   86399
1108,   85861
1109,   86479
1110,   86310
1111,   87098
1112,   86575
1113,   87749
1114,   88607
1115,   89989
1116,   89675
1117,   88329
1118,   87361
1119,   86656
1120,   86159
1121,   86445
1122,   86650
1123,   86177
1124,   86388
1125,   86145
1126,   86546
1127,   86712
1128,   85932
1129,   86125
1130,   85850
1131,   86168
1132,   86035
1133,   86658
1134,   86167
1135,   86786
1136,   85910
1137,   86364
1138,   86481
1139,   85926
1140,   85995
1141,   86288
1142,   85873
1143,   85938
1144,   86142
1145,   86147
1146,   86043
1147,   86009
1148,   86060
1149,   86364
1150,   86111
1151,   86187
1152,   85919
1153,   85991
1154,   86227
1155,   86726
1156,   86484
1157,   86522
1158,   86272
1159,   86873
1160,   86402
1161,   86385
1162,   85877
1163,   86045
1164,   85857
1165,   86031
1166,   86274
1167,   86794
1168,   87208
1169,   89194
1170,   91125
1171,   92918
1172,   93276
1173,   93771
1174,   91414
1175,   89023
1176,   88164
1177,   87621
1178,   87695
1179,   89212
1180,   88396
1181,   87804
1182,   87327
1183,   86224
1184,   86571
1185,   86782
1186,   86742
1187,   86226
1188,   86907
1189,   86548
1190,   86453
1191,   86431
1192,   86682
1193,   86125
1194,   86402
1195,   86645
1196,   86390
1197,   86722
1198,   85839
1199,   86172
1200,   86877
1201,   86628
1202,   86807
1203,   86260
1204,   86321
1205,   86909
1206,   87113
1207,   87018
1208,   86902
1209,   86990
1210,   86167
1211,   86567
1212,   86498
1213,   86553
1214,   86301
1215,   86520
1216,   86103
1217,   86528
1218,   86488
1219,   87553
1220,   88236
1221,   88783
1222,   88312
1223,   87301
1224,   87242
1225,   86541
1226,   87038
1227,   86808
1228,   86339
1229,   86740
1230,   86575
1231,   86662
1232,   86110
1233,   86656
1234,   86176
1235,   87014
1236,   86787
1237,   86471
1238,   87394
1239,   87280
1240,   87167
1241,   87524
1242,   86645
1243,   87275
1244,   87224
1245,   87259
1246,   86844
1247,   87350
1248,   86783
1249,   87222
1250,   87284
1251,   87277
1252,   86782
1253,   86919
1254,   87137
1255,   87082
1256,   86936
1257,   87548
1258,   87020
1259,   86949
1260,   87107
1261,   87417
1262,   87606
1263,   87065
1264,   87132
1265,   87215
1266,   87308
1267,   87519
1268,   87308
1269,   88169
1270,   88118
1271,   87942
1272,   87648
1273,   87599
1274,   88346
1275,   88269
1276,   88144
1277,   87889
1278,   88469
1279,   88433
1280,   88708
1281,   88079
1282,   88303
1283,   88400
1284,   88736
1285,   88572
1286,   89428
1287,   89224
1288,   88527
1289,   88689
1290,   88800
1291,   89557
1292,   88696
1293,   88870
1294,   88866
1295,   89420
1296,   88887
1297,   89056
1298,   88363
1299,   89052
1300,   88292
1301,   89046
1302,   89249
1303,   89355
1304,   88963
1305,   89223
1306,   89665
1307,   89521
1308,   88464
1309,   89410
1310,   89244
1311,   88835
1312,   89260
1313,   89599
1314,   89562
1315,   89813
1316,   89353
1317,   89940
1318,   89911
1319,   90266
1320,   90559
1321,   90830
1322,   91870
1323,   91967
1324,   91752
1325,   91745
1326,   90744
1327,   90781
1328,   90074
1329,   90382
1330,   90091
1331,   89928
1332,   90492
1333,   90102
1334,   90164
1335,   90868
1336,   91546
1337,   91466
1338,   90878
1339,   91480
1340,   91028
1341,   91092
1342,   91189
1343,   91760
1344,   91422
1345,   91182
1346,   91348
1347,   90967
1348,   92205
1349,   92046
1350,   91939
1351,   91339
1352,   91841
1353,   92366
1354,   91704
1355,   92375
1356,   92383
1357,   91775
1358,   92905
1359,   92664
1360,   92195
1361,   92147
1362,   93300
1363,   92314
1364,   92907
1365,   93401
1366,   92482
1367,   93313
1368,   93091
1369,   93339
1370,   93330
1371,   93286
1372,   93779
1373,   94206
1374,   94037
1375,   94137
1376,   93632
1377,   93679
1378,   93646
1379,   94026
1380,   94755
1381,   94140
1382,   94764
1383,   95455
