    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/01/30,09:18:30
MCA Data File,200130 HPGe B ARAA 2B-RX.asc
Comment,Labo:
Date,2020/01/28,18:24:35
Live Time,135167,Real Time,139957,Preset time,20000000,Dead Time,0,(%),Mode,PHA
Spectrum Data,Start ch,0,End ch,4095
  chn  ,  data
   0,  135167
   1,  139957
   2,       0
   3,       0
   4,       0
   5,       0
   6,       0
   7,       0
   8,       0
   9,       0
  10,       0
  11,       0
  12,       0
  13,       0
  14,       0
  15,       0
  16,       0
  17,       0
  18,       0
  19,       0
  20,       0
  21,       0
  22,       0
  23,       0
  24,       0
  25,       0
  26,       0
  27,       0
  28,       0
  29,       0
  30,       0
  31,       0
  32,       0
  33,       0
  34,       0
  35,       0
  36,       0
  37,       0
  38,       0
  39,       0
  40,       0
  41,       0
  42,       0
  43,       0
  44,       0
  45,       0
  46,       0
  47,       0
  48,       0
  49,       0
  50,       0
  51,       0
  52,       0
  53,       0
  54,       0
  55,       0
  56,       0
  57,       0
  58,       0
  59,       0
  60,       0
  61,       0
  62,       0
  63,       0
  64,       0
  65,       0
  66,       0
  67,       0
  68,       0
  69,       0
  70,       0
  71,       0
  72,       0
  73,       0
  74,       0
  75,       0
  76,       0
  77,       0
  78,       0
  79,       0
  80,       0
  81,       0
  82,       0
  83,       0
  84,       0
  85,       0
  86,       0
  87,       0
  88,       0
  89,       0
  90,       0
  91,       0
  92,       0
  93,       0
  94,       0
  95,       0
  96,       0
  97,       0
  98,       0
  99,       0
 100,       0
 101,       0
 102,       0
 103,       0
 104,       0
 105,       0
 106,       0
 107,       0
 108,       0
 109,       0
 110,       0
 111,       0
 112,       0
 113,       0
 114,       0
 115,       0
 116,       0
 117,       0
 118,       0
 119,       0
 120,       0
 121,       0
 122,       0
 123,       0
 124,       0
 125,       0
 126,       0
 127,       0
 128,       0
 129,       0
 130,       0
 131,       0
 132,       0
 133,       0
 134,       0
 135,       0
 136,       0
 137,       0
 138,       0
 139,       0
 140,       0
 141,       0
 142,       0
 143,       0
 144,       0
 145,       0
 146,       0
 147,       0
 148,       0
 149,       0
 150,       0
 151,       0
 152,       0
 153,       0
 154,       0
 155,       0
 156,       0
 157,       0
 158,       0
 159,       0
 160,       0
 161,       0
 162,       0
 163,       0
 164,       0
 165,       0
 166,       0
 167,       0
 168,       0
 169,       0
 170,       0
 171,       0
 172,       0
 173,       0
 174,       0
 175,       0
 176,       0
 177,       0
 178,       0
 179,       0
 180,       0
 181,       0
 182,       0
 183,       0
 184,       0
 185,       0
 186,       0
 187,       0
 188,       0
 189,       0
 190,       0
 191,       0
 192,       0
 193,       0
 194,       0
 195,       0
 196,       0
 197,       0
 198,       0
 199,       0
 200,       0
 201,       0
 202,       0
 203,       0
 204,       0
 205,       0
 206,       0
 207,       0
 208,       0
 209,       0
 210,       0
 211,       0
 212,       0
 213,       0
 214,       0
 215,       0
 216,       0
 217,       0
 218,       0
 219,       0
 220,       0
 221,       0
 222,       0
 223,       0
 224,       0
 225,       0
 226,       0
 227,       0
 228,       0
 229,       0
 230,       0
 231,       0
 232,       0
 233,       0
 234,       0
 235,       0
 236,       0
 237,       0
 238,       0
 239,       0
 240,       0
 241,       0
 242,       0
 243,       0
 244,       0
 245,       0
 246,       0
 247,       0
 248,       0
 249,       0
 250,       0
 251,       0
 252,       0
 253,       0
 254,       0
 255,       0
 256,       0
 257,       0
 258,       0
 259,       0
 260,       0
 261,       0
 262,       0
 263,       0
 264,       0
 265,       0
 266,       0
 267,       0
 268,       0
 269,       0
 270,       0
 271,       0
 272,       0
 273,       0
 274,       0
 275,       0
 276,       0
 277,       0
 278,       0
 279,       0
 280,       0
 281,       0
 282,       0
 283,       0
 284,       0
 285,       0
 286,       0
 287,       0
 288,       0
 289,       0
 290,       0
 291,       0
 292,       0
 293,       0
 294,       0
 295,       0
 296,       0
 297,       0
 298,       0
 299,       0
 300,       0
 301,       0
 302,       0
 303,       0
 304,       0
 305,       0
 306,       0
 307,       0
 308,       0
 309,       0
 310,       0
 311,       0
 312,       0
 313,       0
 314,       0
 315,       0
 316,       0
 317,       0
 318,       0
 319,       0
 320,       0
 321,       0
 322,       0
 323,       0
 324,       0
 325,       0
 326,       0
 327,       0
 328,       0
 329,       0
 330,       0
 331,       0
 332,       0
 333,       0
 334,       0
 335,       0
 336,       0
 337,       0
 338,       0
 339,       0
 340,       0
 341,       0
 342,       0
 343,       0
 344,       0
 345,       0
 346,       0
 347,       0
 348,       0
 349,       0
 350,       0
 351,       0
 352,       0
 353,       0
 354,       0
 355,       0
 356,       0
 357,       0
 358,       0
 359,       0
 360,       0
 361,       0
 362,       0
 363,       0
 364,       0
 365,       0
 366,       0
 367,       0
 368,       0
 369,       0
 370,       0
 371,       0
 372,       0
 373,       0
 374,       0
 375,       0
 376,       0
 377,       0
 378,       0
 379,       0
 380,       0
 381,       0
 382,       0
 383,       0
 384,       0
 385,       0
 386,       0
 387,       0
 388,       0
 389,       0
 390,       0
 391,       0
 392,       0
 393,       0
 394,       0
 395,       0
 396,       0
 397,       0
 398,       0
 399,       0
 400,       0
 401,       0
 402,       0
 403,       0
 404,       0
 405,       0
 406,       0
 407,       0
 408,       0
 409,       0
 410,       0
 411,       0
 412,       0
 413,       0
 414,       0
 415,       0
 416,       0
 417,       0
 418,       0
 419,       0
 420,       0
 421,       0
 422,       0
 423,       0
 424,       0
 425,       0
 426,       0
 427,       0
 428,       0
 429,       0
 430,       0
 431,       0
 432,       0
 433,       0
 434,       0
 435,       0
 436,       0
 437,       0
 438,       0
 439,       0
 440,       0
 441,       0
 442,       0
 443,       0
 444,       0
 445,       0
 446,       0
 447,       0
 448,       0
 449,       0
 450,       0
 451,       0
 452,       0
 453,       0
 454,       0
 455,       0
 456,       0
 457,       0
 458,       0
 459,       0
 460,       0
 461,       0
 462,       0
 463,       0
 464,       0
 465,       0
 466,       0
 467,       0
 468,       0
 469,       0
 470,       0
 471,       0
 472,       0
 473,       0
 474,       0
 475,       0
 476,       0
 477,       0
 478,       0
 479,       0
 480,       0
 481,       0
 482,       0
 483,       0
 484,       0
 485,       0
 486,       0
 487,       0
 488,       0
 489,       0
 490,       0
 491,       0
 492,       0
 493,       0
 494,       0
 495,       0
 496,       0
 497,       0
 498,       0
 499,       0
 500,       0
 501,       0
 502,       0
 503,       0
 504,       0
 505,       0
 506,       0
 507,       0
 508,       0
 509,       0
 510,       0
 511,       0
 512,       0
 513,       0
 514,       0
 515,       0
 516,     291
 517,  326976
 518,  556912
 519,  552513
 520,  548297
 521,  536101
 522,  524743
 523,  517103
 524,  507704
 525,  498362
 526,  489280
 527,  482988
 528,  476475
 529,  471555
 530,  465208
 531,  459681
 532,  456336
 533,  452759
 534,  448576
 535,  445756
 536,  441075
 537,  438828
 538,  437755
 539,  446402
 540,  450918
 541,  446545
 542,  433072
 543,  426815
 544,  420791
 545,  417874
 546,  415668
 547,  412624
 548,  410073
 549,  408556
 550,  406780
 551,  404719
 552,  401358
 553,  401015
 554,  397605
 555,  396525
 556,  393839
 557,  393272
 558,  389993
 559,  388921
 560,  387949
 561,  385880
 562,  384170
 563,  382011
 564,  381774
 565,  378770
 566,  375624
 567,  375512
 568,  372503
 569,  371982
 570,  369890
 571,  368768
 572,  366284
 573,  366635
 574,  364655
 575,  363556
 576,  360882
 577,  360424
 578,  357502
 579,  356201
 580,  354612
 581,  352465
 582,  350761
 583,  349926
 584,  348571
 585,  346697
 586,  344547
 587,  343222
 588,  341463
 589,  341121
 590,  339531
 591,  337131
 592,  335500
 593,  334651
 594,  331879
 595,  330805
 596,  330600
 597,  328595
 598,  327715
 599,  326052
 600,  323234
 601,  322631
 602,  319794
 603,  319615
 604,  316588
 605,  316383
 606,  314419
 607,  313618
 608,  311315
 609,  310456
 610,  308408
 611,  307082
 612,  305103
 613,  304480
 614,  302080
 615,  301858
 616,  299267
 617,  298640
 618,  296401
 619,  294708
 620,  293220
 621,  291949
 622,  290532
 623,  289746
 624,  289348
 625,  287627
 626,  285607
 627,  284713
 628,  282723
 629,  281467
 630,  280935
 631,  279952
 632,  278078
 633,  277916
 634,  275410
 635,  275048
 636,  274038
 637,  273778
 638,  272694
 639,  271794
 640,  271268
 641,  271018
 642,  269679
 643,  268839
 644,  268816
 645,  267813
 646,  267235
 647,  266658
 648,  264821
 649,  264376
 650,  264093
 651,  263652
 652,  263619
 653,  262630
 654,  261966
 655,  261770
 656,  260528
 657,  260934
 658,  259914
 659,  259963
 660,  260699
 661,  259660
 662,  259091
 663,  259230
 664,  258124
 665,  257576
 666,  257444
 667,  257541
 668,  255916
 669,  256699
 670,  255623
 671,  255262
 672,  254779
 673,  254917
 674,  254253
 675,  254244
 676,  254530
 677,  254031
 678,  253559
 679,  252760
 680,  252413
 681,  252313
 682,  250940
 683,  250531
 684,  250068
 685,  250792
 686,  249526
 687,  248989
 688,  248859
 689,  247702
 690,  246952
 691,  247776
 692,  246397
 693,  246123
 694,  245096
 695,  245362
 696,  244555
 697,  245040
 698,  244216
 699,  244118
 700,  243018
 701,  242114
 702,  242588
 703,  241531
 704,  241471
 705,  240735
 706,  240659
 707,  239693
 708,  239185
 709,  239291
 710,  238261
 711,  239078
 712,  239233
 713,  238653
 714,  239170
 715,  238983
 716,  237704
 717,  236306
 718,  235708
 719,  236261
 720,  234884
 721,  234860
 722,  234583
 723,  233881
 724,  234262
 725,  233996
 726,  232543
 727,  231825
 728,  232931
 729,  232658
 730,  231820
 731,  231476
 732,  231448
 733,  230695
 734,  231131
 735,  230036
 736,  230756
 737,  230052
 738,  228981
 739,  229301
 740,  229390
 741,  228465
 742,  228720
 743,  228784
 744,  227977
 745,  227395
 746,  227049
 747,  227242
 748,  227129
 749,  227708
 750,  226272
 751,  226073
 752,  225710
 753,  226428
 754,  225606
 755,  224788
 756,  224100
 757,  223757
 758,  223428
 759,  224171
 760,  225076
 761,  224224
 762,  222913
 763,  223741
 764,  223637
 765,  224265
 766,  223682
 767,  223826
 768,  224299
 769,  223813
 770,  224215
 771,  224306
 772,  224519
 773,  224835
 774,  223321
 775,  225219
 776,  225061
 777,  227176
 778,  228013
 779,  232720
 780,  237506
 781,  246562
 782,  266062
 783,  308514
 784,  410523
 785,  668787
 786, 1285084
 787, 2565681
 788, 4687627
 789, 7231679
 790, 8990026
 791, 8863935
 792, 6891409
 793, 4362563
 794, 2364401
 795, 1208793
 796,  665965
 797,  431427
 798,  324183
 799,  266889
 800,  231720
 801,  209236
 802,  191757
 803,  178501
 804,  169002
 805,  161314
 806,  154329
 807,  148132
 808,  143386
 809,  139940
 810,  135775
 811,  131797
 812,  129277
 813,  126306
 814,  124027
 815,  122402
 816,  120939
 817,  118343
 818,  117420
 819,  115392
 820,  114335
 821,  113220
 822,  112169
 823,  110784
 824,  110060
 825,  109756
 826,  108273
 827,  107271
 828,  107258
 829,  105714
 830,  105392
 831,  105298
 832,  104400
 833,  104110
 834,  103588
 835,  103634
 836,  102910
 837,  102038
 838,  101613
 839,  101437
 840,  100548
 841,  101345
 842,  100354
 843,   99360
 844,   99235
 845,   98933
 846,   98801
 847,   98649
 848,   98233
 849,   98281
 850,   97434
 851,   97538
 852,   96956
 853,   97098
 854,   96404
 855,   96449
 856,   95523
 857,   96150
 858,   95131
 859,   95796
 860,   95156
 861,   95196
 862,   94546
 863,   95054
 864,   94724
 865,   93890
 866,   94080
 867,   94010
 868,   94108
 869,   94150
 870,   94213
 871,   93308
 872,   93420
 873,   92979
 874,   93064
 875,   92947
 876,   92219
 877,   92824
 878,   92886
 879,   92524
 880,   92367
 881,   91751
 882,   91164
 883,   91821
 884,   91288
 885,   91424
 886,   90810
 887,   90589
 888,   90351
 889,   90273
 890,   90377
 891,   90330
 892,   89923
 893,   89549
 894,   89901
 895,   89983
 896,   89300
 897,   90170
 898,   89312
 899,   89644
 900,   89757
 901,   91131
 902,   94123
 903,  100726
 904,  104046
 905,   98518
 906,   92422
 907,   89695
 908,   88771
 909,   88499
 910,   88251
 911,   87971
 912,   88367
 913,   88219
 914,   88088
 915,   87634
 916,   87809
 917,   88145
 918,   87165
 919,   87891
 920,   87553
 921,   87306
 922,   87465
 923,   87026
 924,   87748
 925,   87304
 926,   86586
 927,   87178
 928,   86937
 929,   86934
 930,   86791
 931,   86762
 932,   86640
 933,   86889
 934,   86373
 935,   86574
 936,   86369
 937,   85973
 938,   86103
 939,   86678
 940,   86239
 941,   86135
 942,   88411
 943,   94218
 944,  103403
 945,  108081
 946,  101945
 947,   92248
 948,   87514
 949,   86118
 950,   85668
 951,   85455
 952,   85579
 953,   85376
 954,   85256
 955,   85153
 956,   84989
 957,   84863
 958,   85057
 959,   84810
 960,   84530
 961,   84827
 962,   84837
 963,   85066
 964,   84111
 965,   84391
 966,   84699
 967,   84288
 968,   84032
 969,   83840
 970,   84166
 971,   83888
 972,   83667
 973,   84180
 974,   84106
 975,   83807
 976,   84060
 977,   83785
 978,   83650
 979,   83678
 980,   83602
 981,   83736
 982,   83138
 983,   83262
 984,   83712
 985,   83643
 986,   83574
 987,   83622
 988,   83107
 989,   82677
 990,   82962
 991,   83062
 992,   82949
 993,   82884
 994,   82779
 995,   83071
 996,   82913
 997,   82868
 998,   83112
 999,   82868
1000,   82526
1001,   82667
1002,   82737
1003,   83060
1004,   82610
1005,   82851
1006,   82347
1007,   83046
1008,   82596
1009,   82729
1010,   82393
1011,   82445
1012,   82096
1013,   82315
1014,   81520
1015,   81828
1016,   82095
1017,   82393
1018,   82018
1019,   81529
1020,   82132
1021,   81574
1022,   81894
1023,   82028
1024,   82223
1025,   81720
1026,   81805
1027,   82334
1028,   82059
1029,   81471
1030,   81610
1031,   81842
1032,   82141
1033,   81596
1034,   81971
1035,   82230
1036,   81563
1037,   81678
1038,   81175
1039,   81554
1040,   81488
1041,   81543
1042,   81642
1043,   81218
1044,   80539
1045,   81662
1046,   80787
1047,   81903
1048,   81121
1049,   81397
1050,   80647
1051,   81165
1052,   80884
1053,   81197
1054,   80865
1055,   81460
1056,   81623
1057,   80912
1058,   81061
1059,   81289
1060,   80897
1061,   80824
1062,   80759
1063,   80661
1064,   80307
1065,   80843
1066,   80897
1067,   81044
1068,   80849
1069,   80917
1070,   80748
1071,   80418
1072,   80703
1073,   80400
1074,   80178
1075,   80026
1076,   80018
1077,   80209
1078,   79997
1079,   80757
1080,   79834
1081,   80482
1082,   79897
1083,   79845
1084,   80010
1085,   80080
1086,   80027
1087,   80391
1088,   79542
1089,   80029
1090,   80303
1091,   80467
1092,   79874
1093,   80277
1094,   80073
1095,   79886
1096,   79774
1097,   79984
1098,   80170
1099,   79908
1100,   79571
1101,   80348
1102,   79390
1103,   80092
1104,   79762
1105,   79520
1106,   79124
1107,   79544
1108,   79562
1109,   79325
1110,   79167
1111,   79802
1112,   79023
1113,   79574
1114,   79773
1115,   79004
1116,   78992
1117,   79135
1118,   78814
1119,   79267
1120,   79392
1121,   79135
1122,   79648
1123,   79114
1124,   79495
1125,   79310
1126,   79028
1127,   79141
1128,   80288
1129,   81624
1130,   81849
1131,   82023
1132,   80887
1133,   79625
1134,   79137
1135,   79321
1136,   78988
1137,   79033
1138,   79392
1139,   79008
1140,   78809
1141,   78524
1142,   78354
1143,   79039
1144,   78772
1145,   79228
1146,   78439
1147,   78550
1148,   78326
1149,   78951
1150,   78555
1151,   78943
1152,   78551
1153,   78895
1154,   79108
1155,   78902
1156,   78903
1157,   79114
1158,   78394
1159,   79177
1160,   78624
1161,   79273
1162,   77905
1163,   78600
1164,   78666
1165,   79315
1166,   78386
1167,   78377
1168,   79020
1169,   79054
1170,   78404
1171,   79181
1172,   79276
1173,   79496
1174,   78936
1175,   78811
1176,   79405
1177,   79191
1178,   78852
1179,   79145
1180,   78982
1181,   78858
1182,   79284
1183,   79718
1184,   80466
1185,   82517
1186,   84458
1187,   85658
1188,   85398
1189,   84169
1190,   82379
1191,   80769
1192,   80404
1193,   80128
1194,   80271
1195,   80834
1196,   80610
1197,   79985
1198,   79401
1199,   79684
1200,   78690
1201,   79414
1202,   78862
1203,   79351
1204,   78574
1205,   78850
1206,   79134
1207,   78755
1208,   79205
1209,   78819
1210,   79074
1211,   79177
1212,   79061
1213,   79236
1214,   79164
1215,   79516
1216,   78629
1217,   79071
1218,   79016
1219,   79123
1220,   78670
1221,   79150
1222,   79969
1223,   80128
1224,   79521
1225,   79389
1226,   78772
1227,   79067
1228,   79139
1229,   79270
1230,   79216
1231,   79201
1232,   79047
1233,   78929
1234,   79430
1235,   80048
1236,   80730
1237,   81178
1238,   79910
1239,   79840
1240,   79575
1241,   79434
1242,   79212
1243,   79405
1244,   78582
1245,   79297
1246,   79484
1247,   79568
1248,   79094
1249,   79960
1250,   79637
1251,   79686
1252,   79305
1253,   80120
1254,   80498
1255,   80433
1256,   80402
1257,   79926
1258,   79753
1259,   80028
1260,   80042
1261,   79799
1262,   79574
1263,   79584
1264,   80101
1265,   80060
1266,   80103
1267,   80072
1268,   79589
1269,   79749
1270,   79294
1271,   80194
1272,   79987
1273,   80045
1274,   80167
1275,   80327
1276,   80946
1277,   80279
1278,   80179
1279,   80264
1280,   80454
1281,   80202
1282,   80364
1283,   80583
1284,   80438
1285,   79933
1286,   80496
1287,   80927
1288,   80534
1289,   80510
1290,   80331
1291,   80854
1292,   80753
1293,   81037
1294,   80802
1295,   81211
1296,   80632
1297,   81160
1298,   80752
1299,   80794
1300,   81317
1301,   81937
1302,   81020
1303,   81170
1304,   81434
1305,   81501
1306,   81361
1307,   81728
1308,   82229
1309,   81642
1310,   81772
1311,   81103
1312,   81838
1313,   81340
1314,   81024
1315,   81791
1316,   81975
1317,   82162
1318,   81736
1319,   81882
1320,   81939
1321,   81734
1322,   81758
1323,   81985
1324,   82283
1325,   81944
1326,   82064
1327,   82042
1328,   81805
1329,   82621
1330,   82205
1331,   82584
1332,   82695
1333,   81846
1334,   82498
1335,   83092
1336,   82743
1337,   82949
1338,   82926
1339,   84483
1340,   84060
1341,   84015
1342,   83670
1343,   83434
1344,   83091
1345,   82811
1346,   83472
1347,   83248
1348,   83052
1349,   83341
1350,   83924
1351,   83163
1352,   83294
1353,   82990
1354,   83379
1355,   83895
1356,   83877
1357,   84145
1358,   84111
1359,   84264
1360,   84447
1361,   84422
1362,   83795
1363,   84438
1364,   84203
1365,   83937
1366,   83901
1367,   84488
1368,   83825
1369,   84120
1370,   84536
1371,   84295
1372,   84649
1373,   84622
1374,   84907
1375,   85653
1376,   84704
1377,   85208
1378,   84863
1379,   84868
1380,   85529
1381,   85168
1382,   85366
1383,   85553
