    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/07/17,16:57:41
MCA Data File,detectorA_Ra226 re.asc
Comment,
Date,2020/07/17,15:43:17
Live Time,4157,Real Time,4463,Preset time,99999999,Dead Time,0,(%),Mode,PHA
Spectrum Data,Start ch,0,End ch,4095
  chn  ,  data
 451,    6109
 452,    6140
 453,    6211
 454,    6138
 455,    6058
 456,    6102
 457,    6286
 458,    6090
 459,    6064
 460,    6104
 461,    6023
 462,    6171
 463,    6128
 464,    6221
 465,    6176
 466,    6041
 467,    6068
 468,    6270
 469,    6172
 470,    6164
 471,    6051
 472,    6152
 473,    6264
 474,    6118
 475,    6281
 476,    6090
 477,    6178
 478,    6197
 479,    6121
 480,    6107
 481,    6265
 482,    6192
 483,    6228
 484,    6208
 485,    6328
 486,    6187
 487,    6223
 488,    6331
 489,    6177
 490,    6315
 491,    6370
 492,    6239
 493,    6273
 494,    6124
 495,    6328
 496,    6426
 497,    6241
 498,    6330
 499,    6296
 500,    6336
 501,    6165
 502,    6368
 503,    6428
 504,    6222
 505,    6375
 506,    6309
 507,    6385
 508,    6514
 509,    6397
 510,    6112
 511,    6296
 512,    6513
 513,    6356
 514,    6217
 515,    6295
 516,    6584
 517,    6631
 518,    6339
 519,    6448
 520,    6501
 521,    6513
 522,    6585
 523,    6481
 524,    6499
 525,    6488
 526,    6518
 527,    6449
 528,    6424
 529,    6516
 530,    6588
 531,    6596
 532,    6537
 533,    6455
 534,    6373
 535,    6590
 536,    6467
 537,    6564
 538,    6685
 539,    6668
 540,    6599
 541,    6610
 542,    6724
 543,    6584
 544,    6741
 545,    6529
 546,    6800
 547,    6585
 548,    6605
 549,    6688
 550,    6769
 551,    6638
 552,    6758
 553,    6776
 554,    6655
 555,    6602
 556,    6781
 557,    6712
 558,    6646
 559,    6497
 560,    6646
 561,    6673
 562,    6582
 563,    6774
 564,    6786
 565,    6750
 566,    6743
 567,    6792
 568,    6838
 569,    6704
 570,    6623
 571,    6787
 572,    6603
 573,    6613
 574,    6860
 575,    6635
 576,    6935
 577,    6858
 578,    7014
 579,    6907
 580,    6732
 581,    6745
 582,    6854
 583,    6858
 584,    6873
 585,    6760
 586,    6589
 587,    6840
 588,    6827
 589,    6884
 590,    6904
 591,    6684
 592,    6898
 593,    6895
 594,    6940
 595,    6811
 596,    6779
 597,    6841
 598,    6821
 599,    6978
 600,    6760
 601,    6994
 602,    6911
 603,    6955
 604,    6909
 605,    7106
 606,    6993
 607,    6864
 608,    6968
 609,    6965
 610,    6949
 611,    6915
 612,    6942
 613,    6993
 614,    7032
 615,    6878
 616,    6987
 617,    6929
 618,    7054
 619,    7016
 620,    6913
 621,    6956
 622,    7083
 623,    6759
 624,    6944
 625,    6934
 626,    7011
 627,    6945
 628,    6927
 629,    6979
 630,    7030
 631,    7092
 632,    7067
 633,    6981
 634,    6955
 635,    6968
 636,    7189
 637,    7076
 638,    7074
 639,    6879
 640,    7135
 641,    7129
 642,    7018
 643,    6987
 644,    7046
 645,    7071
 646,    7082
 647,    7007
 648,    7094
 649,    7096
 650,    7143
 651,    7053
 652,    7055
 653,    6833
 654,    7010
 655,    7193
 656,    7102
 657,    7232
 658,    7147
 659,    7050
 660,    7123
 661,    7013
 662,    7186
 663,    7225
 664,    7070
 665,    7083
 666,    7139
 667,    7125
 668,    7277
 669,    7166
 670,    7083
 671,    7243
 672,    7231
 673,    7125
 674,    7106
 675,    7102
 676,    7313
 677,    7015
 678,    7169
 679,    7319
 680,    7130
 681,    7062
 682,    7109
 683,    7117
 684,    7123
 685,    7140
 686,    7278
 687,    7200
 688,    7344
 689,    7022
 690,    7221
 691,    7268
 692,    7209
 693,    7163
 694,    7137
 695,    7244
 696,    7193
 697,    7352
 698,    7208
 699,    7061
 700,    7347
 701,    7164
 702,    7265
 703,    7292
 704,    7190
 705,    7103
 706,    7276
 707,    7198
 708,    7183
 709,    7282
 710,    7237
 711,    7141
 712,    7355
 713,    7225
 714,    7141
 715,    7233
 716,    7191
 717,    7235
 718,    7284
 719,    7324
 720,    7197
 721,    7172
 722,    7282
 723,    7218
 724,    7210
 725,    7253
 726,    7115
 727,    7221
 728,    7012
 729,    7243
 730,    7254
 731,    7072
 732,    7221
 733,    7169
 734,    7314
 735,    7286
 736,    7282
 737,    7252
 738,    7308
 739,    7105
 740,    7378
 741,    7390
 742,    7354
 743,    7460
 744,    7211
 745,    7381
 746,    7251
 747,    7367
 748,    7202
 749,    7398
 750,    7153
 751,    7292
 752,    7328
 753,    7352
 754,    7368
 755,    7251
 756,    7510
 757,    7280
 758,    7351
 759,    7444
 760,    7362
 761,    7295
 762,    7165
 763,    7394
 764,    7291
 765,    7310
 766,    7197
 767,    7278
 768,    7394
 769,    7332
 770,    7231
 771,    7434
 772,    7260
 773,    7349
 774,    7408
 775,    7179
 776,    7257
 777,    7188
 778,    7185
 779,    7272
 780,    7289
 781,    7230
 782,    7243
 783,    7301
 784,    7310
 785,    7253
 786,    7489
 787,    7210
 788,    7189
 789,    7374
 790,    7338
 791,    7329
 792,    7354
 793,    7269
 794,    7293
 795,    7270
 796,    7174
 797,    7323
 798,    7313
 799,    7227
 800,    7334
 801,    7147
 802,    7343
 803,    7301
 804,    7418
 805,    7365
 806,    7418
 807,    7370
 808,    7493
 809,    7269
 810,    7370
 811,    7416
 812,    7427
 813,    7360
 814,    7462
 815,    7321
 816,    7498
 817,    7501
 818,    7562
 819,    7482
 820,    7560
 821,    7614
 822,    7590
 823,    7592
 824,    7603
 825,    7619
 826,    7766
 827,    7746
 828,    7545
 829,    7763
 830,    7732
 831,    7523
 832,    7567
 833,    7848
 834,    7710
 835,    7818
 836,    7819
 837,    7710
 838,    7789
 839,    7757
 840,    7791
 841,    7727
 842,    7874
 843,    7684
 844,    7758
 845,    7749
 846,    7647
 847,    7850
 848,    7917
 849,    7895
 850,    7856
 851,    7871
 852,    7840
 853,    7762
 854,    7841
 855,    7796
 856,    7953
 857,    7820
 858,    7895
 859,    7798
 860,    7762
 861,    7840
 862,    7588
 863,    7930
 864,    7806
 865,    7798
 866,    7891
 867,    7754
 868,    7798
 869,    7863
 870,    7656
 871,    7900
 872,    7721
